Path,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
"VGMDeclaration / authorizedParty / party / partyFunction",partyFunction,string,,maxLength=3,,CA,"Code identifying the function of the party, as defined in
[UN/CEFACT Revision 2004B](https://www.stylusstudio.com/edifact/D04B/3035.htm)
or a subsequent revision.",
"VGMDeclaration / authorizedPersonSignatory","authorizedPersonSignatory",string,,maxLength=255,,"Jane Doe","Authorized person signatory",
"VGMDeclaration / declarationDateTime",declarationDateTime,"string(date-time)",,maxLength=30,,2025-01-23T01:23:45Z,"The date and time when the VGM declaration was last updated",
"VGMDeclaration / declarationReference",declarationReference,string,,maxLength=500,,"VGM-HHL71800000-APZU4812090-2025-01-23T01:23:45Z","Reference of the VGM declaration",
"VGMDeclaration / equipmentDetails",equipmentDetails,EquipmentDetails,,,,,"VGM details specific to the equipment",
"VGMDeclaration / equipmentDetails / cargoGrossWeight",cargoGrossWeight,Weight,,,,,"Gross weight of the cargo item including packaging being carried in the container.
Excludes the tare weight of the container.",
"VGMDeclaration / equipmentDetails / cargoGrossWeight / unit",unit,string,,maxLength=10,,KGM,"Measurement unit in which the weight `value` is expressed:
- `KGM` (Kilograms)
- `LBR` (Pounds)
- `GRM` (Grams)
- `ONZ` (Ounce)",
"VGMDeclaration / equipmentDetails / cargoGrossWeight / value",value,number,,,,2.4,"Weight value expressed in the measurement `unit`",
"VGMDeclaration / equipmentDetails / equipmentReference",equipmentReference,string,,maxLength=11,,APZU4812090,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible.

According to ISO 6346, a container identification code consists of a 4-letter prefix and a 7-digit number
(composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit).

If a container does not comply with ISO 6346, it is suggested to follow
[Recommendation #2: Containers with non-ISO identification](https://smdg.org/documents/smdg-recommendations)
from SMDG.",
"VGMDeclaration / equipmentDetails / ISOEquipmentCode",ISOEquipmentCode,string,,maxLength=4,,22GP,"Unique code identifying the equipment size and type used to transport commodities.
The code can refer to either the ISO size type (e.g. 22G1) or the ISO type group (e.g. 22GP)
following the [ISO 6346](https://en.wikipedia.org/wiki/ISO_6346) standard.",
"VGMDeclaration / equipmentDetails / isShipperOwned",isShipperOwned,boolean,,,,,"Indicates whether the container is owned by the shipper (SOC)",
"VGMDeclaration / equipmentDetails / seals",seals,"Seal list",,,,,,
"VGMDeclaration / equipmentDetails / seals / number",number,string,,maxLength=15,,VET123,"Identifies a seal affixed to the container.",
"VGMDeclaration / equipmentDetails / seals / source",source,string,,,,CUS,"The source of the seal, namely who has affixed the seal.
- `CAR` (Carrier)
- `SHI` (Shipper)
- `PHY` (Phytosanitary)
- `VET` (Veterinary)
- `CUS` (Customs)",
"VGMDeclaration / equipmentDetails / seals / type",type,string,,,,WIR,"The type of seal.
- `KLP` (Keyless padlock)
- `BLT` (Bolt)
- `WIR` (Wire)",
"VGMDeclaration / equipmentDetails / tareWeight",tareWeight,Weight,,,,,"The tare weight of the container",
"VGMDeclaration / equipmentDetails / tareWeight / unit",unit,string,,maxLength=10,,KGM,"Measurement unit in which the weight `value` is expressed:
- `KGM` (Kilograms)
- `LBR` (Pounds)
- `GRM` (Grams)
- `ONZ` (Ounce)",
"VGMDeclaration / equipmentDetails / tareWeight / value",value,number,,,,2.4,"Weight value expressed in the measurement `unit`",
"VGMDeclaration / holdingParty",holdingParty,PartyDetails,,,,,"Information reference agency holding the VGM declaration.",
"VGMDeclaration / holdingParty / address",address,Address,,,,,"An object for storing address-related information.",
"VGMDeclaration / holdingParty / address / city",city,string,,maxLength=35,,Amsterdam,"The name of the city.",
"VGMDeclaration / holdingParty / address / countryCode",countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
"VGMDeclaration / holdingParty / address / floor",floor,string,,maxLength=50,,N/A,"The floor of the street number.",
"VGMDeclaration / holdingParty / address / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
"VGMDeclaration / holdingParty / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code of the address.",
"VGMDeclaration / holdingParty / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
"VGMDeclaration / holdingParty / address / street",street,string,,maxLength=70,,Ruijggoordweg,"The name of the street.",
"VGMDeclaration / holdingParty / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street.",
"VGMDeclaration / holdingParty / contactDetails",contactDetails,ContactDetails,,,,,"The contact details of a person.",
"VGMDeclaration / holdingParty / contactDetails / email",email,string,,maxLength=255,,jane.doe@example.com,"Contact email address",
"VGMDeclaration / holdingParty / contactDetails / name",name,string,,maxLength=255,,"Jane Doe","Contact name",
"VGMDeclaration / holdingParty / contactDetails / phone",phone,string,,maxLength=30,,"+14155552671","Contact phone number, including an international phone number format
as defined in the [ITU-T recommendation E.123](https://www.itu.int/rec/T-REC-E.123/en).",
"VGMDeclaration / holdingParty / party",party,Party,,,,,"Identification of a container shipping party",
"VGMDeclaration / holdingParty / party / codeListName",codeListName,string,,maxLength=100,,DID,"Name of the code list in which the `codeListProvider` defines the `partyCode`, including but not limited to:
- `DID` (Decentralized Identifier) for `codeListProvider` `W3C`
- `LEI` (Legal Entity Identifier) for `codeListProvider` `GLEIF`
- `DUNS` (Data Universal Numbering System) for `codeListProvider` `DNB`",
"VGMDeclaration / holdingParty / party / codeListProvider",codeListProvider,string,,maxLength=100,,W3C,"Code of the provider of a list of codes identifying a party, including but not limited to:
- `BOLE` (Bolero)
- `BRIT` (BRITC eBL)
- `CARX` (CargoX)
- `COVA` (Covantis)
- `CRED` (Credore)
- `DCSA` (Digital Container Shipping Association)
- `DNB` (Dun and Bradstreet)
- `ESSD` (EssDOCS)
- `ETEU` (eTEU)
- `ETIT` (e-title)
- `FMC` (Federal Maritime Commission)
- `GLEIF` (Global Legal Entity Identifier Foundation)
- `GSBN` (Global Shipping Business Network)
- `IDT` (ICE Digital Trade)
- `IQAX` (IQAX)
- `KTNE` (KTNET)
- `NMFTA` (National Motor Freight Traffic Association)
- `SECR` (Secro)
- `SMDG` (Ship Message Design Group)
- `TRAC` (Enigio trace:original)
- `TRGO` (TradeGO)
- `W3C` (World Wide Web Consortium)
- `WAVE` (Wave)
- `WISE` (WiseTech)
- `ZZZ` (Mutually defined)",
"VGMDeclaration / holdingParty / party / partyCode",partyCode,string,,maxLength=150,,MSK,"Code identifying the party as per the `codeListProvider` and `codeListName`.",
"VGMDeclaration / holdingParty / party / partyFunction",partyFunction,string,,maxLength=3,,CA,"Code identifying the function of the party, as defined in
[UN/CEFACT Revision 2004B](https://www.stylusstudio.com/edifact/D04B/3035.htm)
or a subsequent revision.",
"VGMDeclaration / isRetracted",isRetracted,boolean,,,,,"Flag indicating that the VGM is retracted.

The data in this and all previously transmitted VGMs with the same `VGMID` must be discarded or ignored.

If this flag is set, any VGM data other than the `VGMID` is irrelevant (if present).",
"VGMDeclaration / orderedByParty",orderedByParty,PartyDetails,,,,,"Party that orders the weighing at the terminal or weighing station.",
"VGMDeclaration / orderedByParty / address",address,Address,,,,,"An object for storing address-related information.",
"VGMDeclaration / orderedByParty / address / city",city,string,,maxLength=35,,Amsterdam,"The name of the city.",
"VGMDeclaration / orderedByParty / address / countryCode",countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
"VGMDeclaration / orderedByParty / address / floor",floor,string,,maxLength=50,,N/A,"The floor of the street number.",
"VGMDeclaration / orderedByParty / address / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
"VGMDeclaration / orderedByParty / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code of the address.",
"VGMDeclaration / orderedByParty / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
"VGMDeclaration / orderedByParty / address / street",street,string,,maxLength=70,,Ruijggoordweg,"The name of the street.",
"VGMDeclaration / orderedByParty / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street.",
"VGMDeclaration / orderedByParty / contactDetails",contactDetails,ContactDetails,,,,,"The contact details of a person.",
"VGMDeclaration / orderedByParty / contactDetails / email",email,string,,maxLength=255,,jane.doe@example.com,"Contact email address",
"VGMDeclaration / orderedByParty / contactDetails / name",name,string,,maxLength=255,,"Jane Doe","Contact name",
"VGMDeclaration / orderedByParty / contactDetails / phone",phone,string,,maxLength=30,,"+14155552671","Contact phone number, including an international phone number format
as defined in the [ITU-T recommendation E.123](https://www.itu.int/rec/T-REC-E.123/en).",
"VGMDeclaration / orderedByParty / party",party,Party,,,,,"Identification of a container shipping party",
"VGMDeclaration / orderedByParty / party / codeListName",codeListName,string,,maxLength=100,,DID,"Name of the code list in which the `codeListProvider` defines the `partyCode`, including but not limited to:
- `DID` (Decentralized Identifier) for `codeListProvider` `W3C`
- `LEI` (Legal Entity Identifier) for `codeListProvider` `GLEIF`
- `DUNS` (Data Universal Numbering System) for `codeListProvider` `DNB`",
"VGMDeclaration / orderedByParty / party / codeListProvider",codeListProvider,string,,maxLength=100,,W3C,"Code of the provider of a list of codes identifying a party, including but not limited to:
- `BOLE` (Bolero)
- `BRIT` (BRITC eBL)
- `CARX` (CargoX)
- `COVA` (Covantis)
- `CRED` (Credore)
- `DCSA` (Digital Container Shipping Association)
- `DNB` (Dun and Bradstreet)
- `ESSD` (EssDOCS)
- `ETEU` (eTEU)
- `ETIT` (e-title)
- `FMC` (Federal Maritime Commission)
- `GLEIF` (Global Legal Entity Identifier Foundation)
- `GSBN` (Global Shipping Business Network)
- `IDT` (ICE Digital Trade)
- `IQAX` (IQAX)
- `KTNE` (KTNET)
- `NMFTA` (National Motor Freight Traffic Association)
- `SECR` (Secro)
- `SMDG` (Ship Message Design Group)
- `TRAC` (Enigio trace:original)
- `TRGO` (TradeGO)
- `W3C` (World Wide Web Consortium)
- `WAVE` (Wave)
- `WISE` (WiseTech)
- `ZZZ` (Mutually defined)",
"VGMDeclaration / orderedByParty / party / partyCode",partyCode,string,,maxLength=150,,MSK,"Code identifying the party as per the `codeListProvider` and `codeListName`.",
"VGMDeclaration / orderedByParty / party / partyFunction",partyFunction,string,,maxLength=3,,CA,"Code identifying the function of the party, as defined in
[UN/CEFACT Revision 2004B](https://www.stylusstudio.com/edifact/D04B/3035.htm)
or a subsequent revision.",
"VGMDeclaration / responsibleParty",responsibleParty,PartyDetails,,,,,"Party responsible for the VGM declaration.",
"VGMDeclaration / responsibleParty / address",address,Address,,,,,"An object for storing address-related information.",
"VGMDeclaration / responsibleParty / address / city",city,string,,maxLength=35,,Amsterdam,"The name of the city.",
"VGMDeclaration / responsibleParty / address / countryCode",countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
"VGMDeclaration / responsibleParty / address / floor",floor,string,,maxLength=50,,N/A,"The floor of the street number.",
"VGMDeclaration / responsibleParty / address / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
"VGMDeclaration / responsibleParty / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code of the address.",
"VGMDeclaration / responsibleParty / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
"VGMDeclaration / responsibleParty / address / street",street,string,,maxLength=70,,Ruijggoordweg,"The name of the street.",
"VGMDeclaration / responsibleParty / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street.",
"VGMDeclaration / responsibleParty / contactDetails",contactDetails,ContactDetails,,,,,"The contact details of a person.",
"VGMDeclaration / responsibleParty / contactDetails / email",email,string,,maxLength=255,,jane.doe@example.com,"Contact email address",
"VGMDeclaration / responsibleParty / contactDetails / name",name,string,,maxLength=255,,"Jane Doe","Contact name",
"VGMDeclaration / responsibleParty / contactDetails / phone",phone,string,,maxLength=30,,"+14155552671","Contact phone number, including an international phone number format
as defined in the [ITU-T recommendation E.123](https://www.itu.int/rec/T-REC-E.123/en).",
"VGMDeclaration / responsibleParty / party",party,Party,,,,,"Identification of a container shipping party",
"VGMDeclaration / responsibleParty / party / codeListName",codeListName,string,,maxLength=100,,DID,"Name of the code list in which the `codeListProvider` defines the `partyCode`, including but not limited to:
- `DID` (Decentralized Identifier) for `codeListProvider` `W3C`
- `LEI` (Legal Entity Identifier) for `codeListProvider` `GLEIF`
- `DUNS` (Data Universal Numbering System) for `codeListProvider` `DNB`",
"VGMDeclaration / responsibleParty / party / codeListProvider",codeListProvider,string,,maxLength=100,,W3C,"Code of the provider of a list of codes identifying a party, including but not limited to:
- `BOLE` (Bolero)
- `BRIT` (BRITC eBL)
- `CARX` (CargoX)
- `COVA` (Covantis)
- `CRED` (Credore)
- `DCSA` (Digital Container Shipping Association)
- `DNB` (Dun and Bradstreet)
- `ESSD` (EssDOCS)
- `ETEU` (eTEU)
- `ETIT` (e-title)
- `FMC` (Federal Maritime Commission)
- `GLEIF` (Global Legal Entity Identifier Foundation)
- `GSBN` (Global Shipping Business Network)
- `IDT` (ICE Digital Trade)
- `IQAX` (IQAX)
- `KTNE` (KTNET)
- `NMFTA` (National Motor Freight Traffic Association)
- `SECR` (Secro)
- `SMDG` (Ship Message Design Group)
- `TRAC` (Enigio trace:original)
- `TRGO` (TradeGO)
- `W3C` (World Wide Web Consortium)
- `WAVE` (Wave)
- `WISE` (WiseTech)
- `ZZZ` (Mutually defined)",
"VGMDeclaration / responsibleParty / party / partyCode",partyCode,string,,maxLength=150,,MSK,"Code identifying the party as per the `codeListProvider` and `codeListName`.",
"VGMDeclaration / responsibleParty / party / partyFunction",partyFunction,string,,maxLength=3,,CA,"Code identifying the function of the party, as defined in
[UN/CEFACT Revision 2004B](https://www.stylusstudio.com/edifact/D04B/3035.htm)
or a subsequent revision.",
"VGMDeclaration / routingDetails",routingDetails,RoutingDetails,,,,,"Technical routing of a VGM declaration from the originating party, via forwarding parties, to the destination party.",
"VGMDeclaration / routingDetails / destinationParty",destinationParty,Party,,,,,"The final party intended as destination of the event.",
"VGMDeclaration / routingDetails / destinationParty / codeListName",codeListName,string,,maxLength=100,,DID,"Name of the code list in which the `codeListProvider` defines the `partyCode`, including but not limited to:
- `DID` (Decentralized Identifier) for `codeListProvider` `W3C`
- `LEI` (Legal Entity Identifier) for `codeListProvider` `GLEIF`
- `DUNS` (Data Universal Numbering System) for `codeListProvider` `DNB`",
"VGMDeclaration / routingDetails / destinationParty / codeListProvider",codeListProvider,string,,maxLength=100,,W3C,"Code of the provider of a list of codes identifying a party, including but not limited to:
- `BOLE` (Bolero)
- `BRIT` (BRITC eBL)
- `CARX` (CargoX)
- `COVA` (Covantis)
- `CRED` (Credore)
- `DCSA` (Digital Container Shipping Association)
- `DNB` (Dun and Bradstreet)
- `ESSD` (EssDOCS)
- `ETEU` (eTEU)
- `ETIT` (e-title)
- `FMC` (Federal Maritime Commission)
- `GLEIF` (Global Legal Entity Identifier Foundation)
- `GSBN` (Global Shipping Business Network)
- `IDT` (ICE Digital Trade)
- `IQAX` (IQAX)
- `KTNE` (KTNET)
- `NMFTA` (National Motor Freight Traffic Association)
- `SECR` (Secro)
- `SMDG` (Ship Message Design Group)
- `TRAC` (Enigio trace:original)
- `TRGO` (TradeGO)
- `W3C` (World Wide Web Consortium)
- `WAVE` (Wave)
- `WISE` (WiseTech)
- `ZZZ` (Mutually defined)",
"VGMDeclaration / routingDetails / destinationParty / partyCode",partyCode,string,,maxLength=150,,MSK,"Code identifying the party as per the `codeListProvider` and `codeListName`.",
"VGMDeclaration / routingDetails / destinationParty / partyFunction",partyFunction,string,,maxLength=3,,CA,"Code identifying the function of the party, as defined in
[UN/CEFACT Revision 2004B](https://www.stylusstudio.com/edifact/D04B/3035.htm)
or a subsequent revision.",
"VGMDeclaration / routingDetails / forwardingParties",forwardingParties,"Party list",,,,,"Ordered list of parties forwarding the event between the originating and destination party.",
"VGMDeclaration / routingDetails / forwardingParties / codeListName",codeListName,string,,maxLength=100,,DID,"Name of the code list in which the `codeListProvider` defines the `partyCode`, including but not limited to:
- `DID` (Decentralized Identifier) for `codeListProvider` `W3C`
- `LEI` (Legal Entity Identifier) for `codeListProvider` `GLEIF`
- `DUNS` (Data Universal Numbering System) for `codeListProvider` `DNB`",
"VGMDeclaration / routingDetails / forwardingParties / codeListProvider",codeListProvider,string,,maxLength=100,,W3C,"Code of the provider of a list of codes identifying a party, including but not limited to:
- `BOLE` (Bolero)
- `BRIT` (BRITC eBL)
- `CARX` (CargoX)
- `COVA` (Covantis)
- `CRED` (Credore)
- `DCSA` (Digital Container Shipping Association)
- `DNB` (Dun and Bradstreet)
- `ESSD` (EssDOCS)
- `ETEU` (eTEU)
- `ETIT` (e-title)
- `FMC` (Federal Maritime Commission)
- `GLEIF` (Global Legal Entity Identifier Foundation)
- `GSBN` (Global Shipping Business Network)
- `IDT` (ICE Digital Trade)
- `IQAX` (IQAX)
- `KTNE` (KTNET)
- `NMFTA` (National Motor Freight Traffic Association)
- `SECR` (Secro)
- `SMDG` (Ship Message Design Group)
- `TRAC` (Enigio trace:original)
- `TRGO` (TradeGO)
- `W3C` (World Wide Web Consortium)
- `WAVE` (Wave)
- `WISE` (WiseTech)
- `ZZZ` (Mutually defined)",
"VGMDeclaration / routingDetails / forwardingParties / partyCode",partyCode,string,,maxLength=150,,MSK,"Code identifying the party as per the `codeListProvider` and `codeListName`.",
"VGMDeclaration / routingDetails / forwardingParties / partyFunction",partyFunction,string,,maxLength=3,,CA,"Code identifying the function of the party, as defined in
[UN/CEFACT Revision 2004B](https://www.stylusstudio.com/edifact/D04B/3035.htm)
or a subsequent revision.",
"VGMDeclaration / routingDetails / originatingParty",originatingParty,Party,,,,,"The initial party with which the event originated.",
"VGMDeclaration / routingDetails / originatingParty / codeListName",codeListName,string,,maxLength=100,,DID,"Name of the code list in which the `codeListProvider` defines the `partyCode`, including but not limited to:
- `DID` (Decentralized Identifier) for `codeListProvider` `W3C`
- `LEI` (Legal Entity Identifier) for `codeListProvider` `GLEIF`
- `DUNS` (Data Universal Numbering System) for `codeListProvider` `DNB`",
"VGMDeclaration / routingDetails / originatingParty / codeListProvider",codeListProvider,string,,maxLength=100,,W3C,"Code of the provider of a list of codes identifying a party, including but not limited to:
- `BOLE` (Bolero)
- `BRIT` (BRITC eBL)
- `CARX` (CargoX)
- `COVA` (Covantis)
- `CRED` (Credore)
- `DCSA` (Digital Container Shipping Association)
- `DNB` (Dun and Bradstreet)
- `ESSD` (EssDOCS)
- `ETEU` (eTEU)
- `ETIT` (e-title)
- `FMC` (Federal Maritime Commission)
- `GLEIF` (Global Legal Entity Identifier Foundation)
- `GSBN` (Global Shipping Business Network)
- `IDT` (ICE Digital Trade)
- `IQAX` (IQAX)
- `KTNE` (KTNET)
- `NMFTA` (National Motor Freight Traffic Association)
- `SECR` (Secro)
- `SMDG` (Ship Message Design Group)
- `TRAC` (Enigio trace:original)
- `TRGO` (TradeGO)
- `W3C` (World Wide Web Consortium)
- `WAVE` (Wave)
- `WISE` (WiseTech)
- `ZZZ` (Mutually defined)",
"VGMDeclaration / routingDetails / originatingParty / partyCode",partyCode,string,,maxLength=150,,MSK,"Code identifying the party as per the `codeListProvider` and `codeListName`.",
"VGMDeclaration / routingDetails / originatingParty / partyFunction",partyFunction,string,,maxLength=3,,CA,"Code identifying the function of the party, as defined in
[UN/CEFACT Revision 2004B](https://www.stylusstudio.com/edifact/D04B/3035.htm)
or a subsequent revision.",
"VGMDeclaration / shipmentDetails",shipmentDetails,ShipmentDetails,,,,,"VGM details specific to the shipment",
"VGMDeclaration / shipmentDetails / carrierBookingReference",carrierBookingReference,string,yes,maxLength=35,,ABC709951,"The reference of the booking for which this VGM was created",
"VGMDeclaration / shipmentDetails / documentReferences",documentReferences,"DocumentReference list",,,,,"Additional list of document references related to this event",
"VGMDeclaration / shipmentDetails / documentReferences / reference",reference,string,,maxLength=100,,123e4567e89b,"Reference identifying the document",
"VGMDeclaration / shipmentDetails / documentReferences / typeCode",typeCode,string,,,,BKG,"Code used to denote the type of a document reference
- `AMF` - Advance Manifest Filing (of any subtype)
- `ARN` - Arrival Notice
- `BKG` - Booking
- `CAS` - Cargo Survey
- `CBR` - Carrier Booking Request
- `CEA` - Certificate of Analysis
- `CEO` - Certificate of Origin
- `CQU` - Contract Quotation
- `CRO` - Container Release Order
- `CUC` - Customs Clearance
- `DEI` - Delivery Instructions
- `DEO` - Delivery Order
- `DGD` - Dangerous Goods Declaration
- `FCE` - Fumigation Certificate
- `HCE` - Health Certificate
- `ICE` - Inspection Certificate
- `INV` - Invoice
- `OOG` - Out of Gauge
- `PCE` - Phytosanitary Certificate
- `PFD` - Proof of Delivery
- `SHI` - Shipping Instruction
- `TRD` - Transport Document
- `TRO` - Transport Order
- `VCE` - Veterinary Certificate
- `VGM` - Verified Gross Mass",
"VGMDeclaration / shipmentDetails / shipmentReferences",shipmentReferences,"ShipmentReference list",,,,,"Additional list of shipment references related to this event",
"VGMDeclaration / shipmentDetails / shipmentReferences / reference",reference,string,,maxLength=100,,123e4567e89b,"The actual reference value",
"VGMDeclaration / shipmentDetails / shipmentReferences / typeCode",typeCode,string,,,,FF,"Code used to denote the type of a shipment reference
- `AAO` - Consignee’s Reference
- `AES` - Automated Export System
- `BID` - Booking Request ID
- `BPR` - Booking party reference number
- `CER` - Canadian Export Reporting System
- `CR` - Customer’s Reference
- `CSI` - Customer shipment ID
- `DUE` - Declaração Única de Exportação
- `ECR` - Empty container release reference
- `EQ` - Equipment Reference
- `FF` - Freight Forwarder’s Reference
- `PO` - Purchase Order Reference
- `RUC` - Registro Único del Contribuyente
- `SI` - Shipper’s Reference",
"VGMDeclaration / shipmentDetails / transportDocumentReference","transportDocumentReference",string,yes,maxLength=20,,HHL71800000,"The reference of the transport document for which this VGM was created",
"VGMDeclaration / submittingParty",submittingParty,PartyDetails,,,,,"Party that submits the VGM declaration.",
"VGMDeclaration / submittingParty / address",address,Address,,,,,"An object for storing address-related information.",
"VGMDeclaration / submittingParty / address / city",city,string,,maxLength=35,,Amsterdam,"The name of the city.",
"VGMDeclaration / submittingParty / address / countryCode",countryCode,string,,maxLength=2,,NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
"VGMDeclaration / submittingParty / address / floor",floor,string,,maxLength=50,,N/A,"The floor of the street number.",
"VGMDeclaration / submittingParty / address / POBox",POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
"VGMDeclaration / submittingParty / address / postCode",postCode,string,,maxLength=10,,"1047 HM","The post code of the address.",
"VGMDeclaration / submittingParty / address / stateRegion",stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
"VGMDeclaration / submittingParty / address / street",street,string,,maxLength=70,,Ruijggoordweg,"The name of the street.",
"VGMDeclaration / submittingParty / address / streetNumber",streetNumber,string,,maxLength=50,,100,"The number of the street.",
"VGMDeclaration / submittingParty / contactDetails",contactDetails,ContactDetails,,,,,"The contact details of a person.",
"VGMDeclaration / submittingParty / contactDetails / email",email,string,,maxLength=255,,jane.doe@example.com,"Contact email address",
"VGMDeclaration / submittingParty / contactDetails / name",name,string,,maxLength=255,,"Jane Doe","Contact name",
"VGMDeclaration / submittingParty / contactDetails / phone",phone,string,,maxLength=30,,"+14155552671","Contact phone number, including an international phone number format
as defined in the [ITU-T recommendation E.123](https://www.itu.int/rec/T-REC-E.123/en).",
"VGMDeclaration / submittingParty / party",party,Party,,,,,"Identification of a container shipping party",
"VGMDeclaration / submittingParty / party / codeListName",codeListName,string,,maxLength=100,,DID,"Name of the code list in which the `codeListProvider` defines the `partyCode`, including but not limited to:
- `DID` (Decentralized Identifier) for `codeListProvider` `W3C`
- `LEI` (Legal Entity Identifier) for `codeListProvider` `GLEIF`
- `DUNS` (Data Universal Numbering System) for `codeListProvider` `DNB`",
