Object,Attribute,Type,Required,Size,Pattern,Example,Description
ArrivalNoticeDigest,etaAtPlaceOfDeliveryDate,string,,,,2025-01-23,"The expected date of arrival of the shipment at Place of Delivery."
ArrivalNoticeDigest,etaAtPortOfDischargeDate,string,,,,2025-01-23,"The expected date of arrival of the vessel at the Port of Discharge."
ArrivalNoticeDigest,placeOfDelivery,Location,,,,,
ArrivalNoticeDigest,portOfDischarge,Location,,,,,
ArrivalNoticeDigest,"transportDocumentReference",string,,,,XYZ1234,"Reference of the transport document for which this arrival notice was created"
"ArrivalNoticeDigestsMessage",arrivalNoticeDigests,"ArrivalNoticeDigest list",,,,,"List of Arrival Notice digests."
ArrivalNoticesMessage,arrivalNotices,"ArrivalNotice list",,,,,"List of arrival notices."
CargoItem,cargoGrossVolume,Volume,,,,,
CargoItem,cargoGrossWeight,Weight,,,,,
CargoItem,cargoNetVolume,Volume,,,,,
CargoItem,cargoNetWeight,Weight,,,,,
CargoItem,equipmentReference,string,,,,APZU4812090,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible.
According to ISO 6346, a container identification code consists of a 4-letter prefix and a 7-digit number
(composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit).
If a container does not comply with ISO 6346, it is suggested to follow ""Recommendation #2:
Containers with non-ISO identification"" from SMDG: https://smdg.org/documents/smdg-recommendations"
CargoItem,outerPackaging,OuterPackaging,,,,,
Charge,calculationBasis,string,yes,50,,"Per day","The code specifying the measure unit used for the corresponding unit price for this cost, such as per day, per ton,
 per square metre.
"
Charge,carrierRateOfExchange,string,,50,,"1.00 EUR = 1.08149 USD","The quotation of the relative value of a currency unit against the unit of another currency
 in the foreign exchange market applicable to this charge item. The Carrier rate of exchange applicability
 is defined based on the local jurisdiction. If not provided, the customer should refer to the ROE available
 on the carrier website or the ROE defined by the competent customs authority, as per local practice.
"
Charge,chargeAmount,string,yes,,"^\d+(\.\d{1,2})?$",123.45,"The monetary value of this charge, expressed with a maximum of 2 decimal digits"
Charge,chargeCurrency,string,yes,3,"^[A-Z]{3}$",EUR,"Currency code as defined by [ISO 4217](https://en.wikipedia.org/wiki/ISO_4217)"
Charge,chargeDescription,string,yes,50,,"Documentation fee - Destination","Description of the charge"
Charge,invoiceReference,string,,100,,INV51XX80YY,"Reference of the invoice towards the consignee for this shipment charge"
Charge,paymentTermCode,string,yes,,,PRE,"An indicator of whether a charge is prepaid (PRE) or collect (COL).
 When prepaid, the charge is the responsibility of the shipper or the Invoice payer on behalf
 of the shipper (if provided). When collect, the charge is the responsibility of the consignee
 or the Invoice payer on behalf of the consignee (if provided).

 - `COL` - Collect
 - `PRE` - Prepaid"
Charge,quantity,string,yes,,"^\d+(\.\d+)?$",123.456,"The quantity of this charge item in units at `unitPrice`"
Charge,unitPrice,string,yes,,"^\d+(\.\d{1,2})?$",123.45,"The unit price of this charge item in the `chargeCurrency`, expressed with a maximum of 2 decimal digits
"
ConsignmentItem,HSCodes,"string list",yes,,,,"List of HS Codes that apply to this consignment item"
ConsignmentItem,cargoItems,"CargoItem list",yes,,,,"The list of cargo items grouped in this consignment item."
ConsignmentItem,carrierBookingReference,string,yes,35,"^\S(?:.*\S)?$",XYZ1234,"The booking number corresponding to this consignment item"
ConsignmentItem,commoditySubReference,string,yes,100,"^\S(?:.*\S)?$",XYZ1234,"Reference to the commodity object assigned by the carrier in the booking confirmation,
 unique within the context of one booking.
"
ConsignmentItem,customsReferences,"CustomsReference list",,,,,"The list of customs references applicable to this consignment item."
ConsignmentItem,descriptionOfGoods,"string list",yes,,,,"Ordered list of cargo descriptions precise enough for customs services to be able to identify the goods.
"
ConsignmentItem,nationalCommodityCodes,"NationalCommodityCode list",,,,,"The list of national commodity codes applicable to this consignment item."
ConsignmentItem,shippingMarks,"string list",,,,,"Ordered list of shipping mark lines printed on the package"
ContactInformation,email,string,,100,"^\S+(\s+\S+)*$",jane.doe@example.com,"Email address"
ContactInformation,name,string,,100,"^\S+(\s+\S+)*$","Jane Doe","Contact name"
ContactInformation,phone,string,,30,"^\S+(\s+\S+)*$","+1 555-123-4567","Phone number"
CustomsReference,countryCode,string,yes,2,"^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

When the country code is required but not applicable, use the code `ZZ`.
"
CustomsReference,crType,string,yes,,,CUS,"The reference type code as defined in the relevant customs jurisdiction."
CustomsReference,values,"string list",yes,,,,"List of customs reference values"
DangerousGoods,EMSNumber,string,,,,"F-A S-Q","The emergency schedule identified in the IMO EmS Guide – Emergency Response Procedures for Ships Carrying
 Dangerous Goods. Comprises 2 values; 1 for spillage and 1 for fire. Possible values spillage: S-A to S-Z.
 Possible values fire: F-A to F-Z."
DangerousGoods,NANumber,string,,,,9037,"Four-digit number that is assigned to dangerous, hazardous, and harmful substances by the United States
 Department of Transportation."
DangerousGoods,UNNumber,string,,,,1463,"United Nations Dangerous Goods Identifier (UNDG) assigned by the UN Sub-Committee of Experts on the
 Transport of Dangerous Goods and shown in the IMO IMDG."
DangerousGoods,codedVariantList,string,,,,2200,"Four-character code supplied by Exis Technologies that assists to remove ambiguities when identifying a variant
 within a single UN number or NA number that may occur when two companies exchange DG information:
 * Character 1
   * Valid characters: 0, 1, 2, 3
   * Description: The packing group. Code 0 indicates there is no packing group.
 * Character 2
   * Valid characters: 0 to 9 and A to Z
   * Description: A sequence letter for the PSN, or 0 if there were no alternative PSNs.
 * Characters 3 and 4
   * Valid characters: 0 to 9 and A to Z
   * Description: Two sequence letters for other information, for the cases where the variant is required
    because of different in subrisks, packing instruction etc."
DangerousGoods,"competentAuthorityApproval",string,,,,,"Name and reference number of the competent authority providing the approval."
DangerousGoods,emergencyContactDetails,EmergencyContactDetails,,,,,
DangerousGoods,endOfHoldingTime,string,,,,2025-01-23,"Date by when the refrigerated liquid needs to be delivered."
DangerousGoods,fumigationDateTime,string,,,,2025-01-23T12:34:56Z,"Date & time when the container was fumigated."
DangerousGoods,grossWeight,Weight,,,,,
DangerousGoods,imoClass,string,,,,1.4S,"The hazard class code of the referenced dangerous goods according to the specified regulation.
 Examples of possible values are:
 * 1.1A (Substances and articles which have a mass explosion hazard)
 * 1.6N (Extremely insensitive articles which do not have a mass explosion hazard)
 * 2.1 (Flammable gases)
 * 8 (Corrosive substances)
"
DangerousGoods,inhalationZone,string,,,,A,"The zone classification of the toxicity of the inhalant. Possible values are:
 * A (Hazard Zone A) can be assigned to specific gases and liquids
 * B (Hazard Zone B) can be assigned to specific gases and liquids
 * C (Hazard Zone C) can only be assigned to specific gases
 * D (Hazard Zone D) can only be assigned to specific gases
"
DangerousGoods,innerPackagings,"InnerPackaging list",,,,,"A list of Inner Packagings contained inside this outer packaging / overpack."
DangerousGoods,"isCompetentAuthorityApprovalRequired",string,,,,true,"Indicates if the cargo require approval from authorities."
DangerousGoods,isEmptyUncleanedResidue,string,,,,true,"Indicates if the cargo is residue."
DangerousGoods,isExceptedQuantity,string,,,,true,"Indicates if the dangerous goods can be transported as excepted quantity
 in accordance with Chapter 3.5 of the IMO IMDG Code."
DangerousGoods,isHot,string,,,,true,"Indicates if high temperature cargo is being shipped."
DangerousGoods,isLimitedQuantity,string,,,,true,"Indicates if the dangerous goods can be transported as limited quantity
 in accordance with Chapter 3.4 of the IMO IMDG Code."
DangerousGoods,isMarinePollutant,string,,,,true,"Indicates if the goods belong to the classification of Marine Pollutant."
DangerousGoods,isReportableQuantity,string,,,,true,"Indicates if a container of hazardous material is at the reportable quantity level.
 If true, a report to the relevant authority must be made in case of spill."
DangerousGoods,isSalvagePackings,string,,,,true,"Indicates if the cargo has special packaging for the transport, recovery or disposal of damaged, defective,
 leaking or nonconforming hazardous materials packages, or hazardous materials that have spilled or leaked."
DangerousGoods,isWaste,string,,,,true,"Indicates if waste is being shipped."
DangerousGoods,limits,TemperatureLimits,,,,,
DangerousGoods,netExplosiveContent,Weight,,,,,
DangerousGoods,netVolume,Volume,,,,,
DangerousGoods,netWeight,Weight,,,,,
DangerousGoods,packingGroup,string,,,,3,"The packing group according to the UN Recommendations on the Transport of Dangerous Goods and IMO IMDG Code."
DangerousGoods,properShippingName,string,,,,"Chromium Trioxide, anhydrous","The proper shipping name for goods under IMDG Code, or the product name for goods under IBC Code and IGC Code,
 or the bulk cargo shipping name for goods under IMSBC Code, or the name of oil for goods under Annex I to
 the MARPOL Convention."
DangerousGoods,segregationGroups,string,,,,,"List of the segregation groups applicable to specific hazardous goods according to the IMO IMDG Code.
 (Only applicable to specific hazardous goods.)

Each element is a grouping of Dangerous Goods having certain similar chemical properties. Possible values are:
 * 1 (Acids)
 * 2 (Ammonium Compounds)
 * 3 (Bromates)
 * 4 (Chlorates)
 * 5 (Chlorites)
 * 6 (Cyanides)
 * 7 (Heavy metals and their salts)
 * 8 (Hypochlorites)
 * 9 (Lead and its compounds)
 * 10 (Liquid halogenated hydrocarbons)
 * 11 (Mercury and mercury compounds)
 * 12 (Nitrites and their mixtures)
 * 13 (Perchlorates)
 * 14 (Permanganates)
 * 15 (Powdered metals)
 * 16 (Peroxides),
 * 17 (Azides)
 * 18 (Alkalis)
"
DangerousGoods,subsidiaryRisk1,string,,,,1.2,"Any risk in addition to the class of the referenced dangerous goods according to the IMO IMDG Code."
DangerousGoods,subsidiaryRisk2,string,,,,1.2,"Any risk in addition to the class of the referenced dangerous goods according to the IMO IMDG Code."
DangerousGoods,technicalName,string,,,,"xylene and benzene","The recognized chemical or biological name or other name currently used for the referenced dangerous goods
 as described in chapter 3.1.2.8 of the IMDG Code."
DocumentParty,address,Address,,,,,
DocumentParty,contactDetails,"ContactInformation list",,,,,"Party contact details"
DocumentParty,identifyingCodes,"IdentifyingPartyCode list",,,,,"List of codes identifying the party"
DocumentParty,name,string,yes,70,,"Acme Inc.","Party name"
DocumentParty,partyType,string,yes,,,SHIPPER,"Code indicating the type of a document party
 - `SHIPPER` - The party by whom or in whose name or on whose behalf a contract of carriage of goods by sea has been concluded with a
 carrier, or any person by whom or in whose name, or on whose behalf, the goods are actually delivered to the carrier
 in relation to the contract of carriage by sea.
 - `CONSIGNEE` - The party to which goods are consigned.
 - `FIRST_NOTIFY_PARTY` - The first party to be notified of the shipment arrival.
 - `SECOND_NOTIFY_PARTY` - The second party to be notified of the shipment arrival.
 - `OTHER_NOTIFY_PARTY` - Other party to be notified of the shipment arrival."
DocumentParty,personType,string,,,,LEGAL_PERSON,"One of the person types defined by the Union Customs Code art. 5(4)

 - `NATURAL_PERSON` - A person that is an individual living human being

 - `LEGAL_PERSON` - Person (including a human being and public or private organizations) that can perform legal actions,
 such as own a property, sue and be sued

 - `ASSOCIATION_OF_PERSONS` - Not a legal person, but recognised under Union or National law as having the capacity to perform legal acts
"
DocumentParty,taxOrLegalReferences,"TaxOrLegalReference list",,,,,"List of tax or legal references relevant to the party"
EmergencyContactDetails,contact,string,,,,"Jane Doe","Name of the person to contact during an emergency."
EmergencyContactDetails,phone,string,,,,"+1 555-123-456","Phone number of the emergency contact.
 It MUST be an international phone number as defined in the ITU-T recommendation E.123.
"
EmergencyContactDetails,provider,string,,,,"Acme Inc.","Name of the third party vendor providing emergency support."
EmergencyContactDetails,referenceNumber,string,,,,1234,"Contract reference for the emergency support provided by an external third party vendor."
Equipment,ISOEquipmentCode,string,,4,,22G1,"Unique code for the different equipment size and type used to transport commodities.

The code can refer to one of ISO size type (e.g. 22G1) or ISO type group (e.g. 22GP)
 following the [ISO 6346](https://www.iso.org/standard/83558.html) standard.
"
Equipment,equipmentReference,string,yes,11,,APZU4812090,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible.

According to [ISO 6346](https://www.iso.org/standard/83558.html), a container identification code consists of
 a 4-letter prefix and a 7-digit number (composed of a 3-letter owner code, a category identifier, a serial number,
 and a check-digit).

If a container does not comply with [ISO 6346](https://www.iso.org/standard/83558.html), it is suggested to follow
 [Recommendation #2: Containers with non-ISO identification](https://smdg.org/documents/smdg-recommendations) from SMDG.
"
Equipment,tareWeight,Weight,,,,,
FreeTime,ISOEquipmentCode,string,yes,4,"^\S(?:.*\S)?$",22GP,"Unique code identifying the equipment size and type used to transport commodities.
 The code can refer to either the ISO size type (e.g. 22G1) or the ISO type group (e.g. 22GP)
 following the [ISO 6346](https://en.wikipedia.org/wiki/ISO_6346) standard.
"
FreeTime,calculationBasis,string,yes,1000,,"Calculated as...","Description of the conditions under which this free time item applies.
 It can include references to the carrier website or individual charges as per service contract/agreement.
"
FreeTime,duration,integer,yes,,,123,"The duration expressed in `timeUnit`s for which this free time item applies."
FreeTime,modeOfTransportCode,string,,20,,VESSEL,"The mode of transport, as defined by DCSA, for which the free time object applies
 - `BARGE` - Barge
 - `RAIL` - Rail
 - `TRUCK` - Truck
 - `VESSEL` - Vessel"
FreeTime,timeUnit,string,yes,3,,WD,"Code identifying the unit in which free time is expressed
 - `CD` - Calendar days
 - `WD` - Working days
 - `HR` - Hours
 - `DOD` - Day of discharge"
FreeTime,typeCode,string,yes,,,DEM,"Code used to denote the type of free time.
 - `DEM` - Demurrage
 - `DET` - Detention
 - `PDM` - Per Diem
 - `STO` - Storage"
IdentifyingPartyCode,codeListName,string,,,,DID,"The name of the `partyCode` list, code generation mechanism or code authority from the `codeListProvider`.

This is a very limited list of examples:
 * DID (Decenbtralized Identifier) for `codeListProvider` W3C
 * LEI (Legal Entity Identifier) for `codeListProvider` GLEIF
 * DUNS (Data Universal Numbering System) for `codeListProvider` DNB
"
IdentifyingPartyCode,codeListProvider,string,yes,,,W3C,"Code of the provider of the code list from which a party code is used.

 - `BOLE` - Bolero
 - `CARX` - CargoX
 - `DCSA` - Digital Container Shipping Association
 - `DNB` - Dun and Bradstreet
 - `EDOX` - EdoxOnline
 - `ESSD` - EssDOCS
 - `ETEU` - eTEU
 - `FMC` - Federal Maritime Commission
 - `GSBN` - Global Shipping Business Network
 - `GLEIF` - Global Legal Entity Identifier Foundation
 - `IDT` - ICE Digital Trade
 - `IQAX` - IQAX
 - `SECR` - Secro
 - `TRGO` - TradeGO
 - `W3C` - World Wide Web Consortium
 - `WAVE` - Wave
 - `WISE` - WiseTech
 - `ZZZ` - Mutually defined"
IdentifyingPartyCode,partyCode,string,yes,,,,"Identifier of the party in the list `codeListName` provided by `codeListProvider`"
InnerPackaging,description,string,,,,"Woven plastic water resistant bag","Description of the Inner Packaging."
InnerPackaging,material,string,,,,Plastic,"The material used for the Inner Packaging."
InnerPackaging,quantity,string,,,,20,"Number of Inner Packagings."
Location,UNLocationCode,string,,5,"^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code identifying a certain location. The pattern used must be:
* 2 characters for the country code using ISO 3166-1 alpha-2
* 3 characters to code a location within that country (using letters A-Z and numbers from 2-9)

Additional information can be found [here](https://unece.org/trade/cefact/UNLOCODE-Download).
"
Location,address,Address,,,,,
Location,facilityCode,string,,6,"^\S(?:.*\S)?$",CTA,"Facility code in the list provided by `facilityCodeListProvider`"
Location,facilityCodeListProvider,string,,,,BIC,"The provider of the code list in which `facilityCode` is defined.
 - `BIC` - BIC Facility Codes; details [here](https://www.bic-code.org/facility-codes/)
 - `SMDG` - Ship Message Design Group; details [here](https://www.bic-code.org/facility-codes/)"
Location,locationName,string,,100,,"Port of Amsterdam","Location name"
NationalCommodityCode,countryCode,string,,2,"^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

When the country code is required but not applicable, use the code `ZZ`.
"
NationalCommodityCode,nccType,string,yes,10,"^\S(?:.*\S)?$",NCM,"The national commodity classification code, which can be one of the following values defined by DCSA:
 * NCM (Nomenclatura Comum do Mercosul)
 * HTS (Harmonized Tariff Schedule)
 * SCHEDULE_B ( Schedule B)
 * TARIC (Integrated Tariff of the European Communities)
 * CN (Combined Nomenclature)
 * CUS (Customs Union and Statistics)
"
NationalCommodityCode,nccValues,"string list",yes,,,,"List of national commodity code values"
OuterPackaging,dangerousGoods,"DangerousGoods list",,,,,"List of Dangerous Goods."
OuterPackaging,description,string,,,,"Drum, steel","Description of the outer packaging/overpack."
OuterPackaging,imoPackagingCode,string,,,,1A2,"The code of the packaging as per IMO.
 Only applicable to dangerous goods if specified in the IMO IMDG code:
 https://www.imo.org/en/publications/Pages/IMDG%20Code.aspx

If not available, the packageCode as per UN recommendation 21 should be used."
OuterPackaging,numberOfPackages,string,,,,18,"Specifies the number of outer packagings / overpacks associated with this Cargo Item."
OuterPackaging,packageCode,string,,,,5H,"A code identifying the outer packaging / overpack.
 PackageCode must follow the codes specified in Recommendation N°21:
 https://unece.org/trade/uncefact/cl-recommendations

Only applicable to dangerous goods if the IMO packaging code is not available."
OuterPackaging,woodDeclaration,string,,,,TREATED_AND_CERTIFIED,"Property to clearly indicate if the products, packaging and any other items are made of wood. Possible values include:
 * NOT_APPLICABLE (if no wood or any other wood product such as packaging and supports are being shipped)
 * NOT_TREATED_AND_NOT_CERTIFIED (if the wood or wooden materials have not been treated nor fumigated and do not
  include a certificate)
 * PROCESSED (if the wood or wooden materials are entirely made of processed wood, such as plywood, particle board,
  sliver plates of wood and wood laminate sheets produced using glue, heat, pressure or a combination of these)
 * TREATED_AND_CERTIFIED (if the wood or wooden materials have been treated and/or fumigated and include a certificate)
"
Reference,referenceType,string,yes,3,,FF,"One of the reference type codes defined by DCSA. Possible values are:
 * FF (Freight Forwarder's Reference)
 * SI (Shipper's Reference)
 * SPO (Shippers Purchase Order Reference)
 * CPO (Consignees Purchase Order Reference)
 * CR (Customer's Reference)
 * AAO (Consignee's Reference)
 * ECR (Empty container release reference)
 * CSI (Customer shipment ID)
 * BPR (Booking party reference number)
 * BID (Booking Request ID)
 * SAC (Shipping Agency Code)
"
Reference,value,string,yes,100,,XYZ1234,"Reference value"
Seal,sealNumber,string,yes,15,,VET123,"Seal number"
Seal,source,string,,,,VET,"Code identifying the type of entity that has affixed the seal (the seal ""source"")

 - `CAR` - Carrier
 - `CUS` - Customs
 - `SHI` - Shipper
 - `VET` - Veterinary"
TaxOrLegalReference,countryCode,string,yes,2,"^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

When the country code is required but not applicable, use the code `ZZ`.
"
TaxOrLegalReference,referenceType,string,yes,50,,PAN,"The reference type code as defined by the relevant tax and/or legal authority."
TaxOrLegalReference,value,string,yes,35,,ABC1234,"The name or title of the tax or legal reference"
TemperatureLimits,SADT,string,,,,54.1,"Lowest temperature in which self-accelerating decomposition may occur in a substance."
TemperatureLimits,SAPT,string,,,,70,"Lowest temperature in which self-accelerating polymerization may occur in a substance."
TemperatureLimits,flashPoint,string,,,,42,"Lowest temperature at which a chemical can vaporize to form an ignitable mixture in air.
 (Only applicable to specific hazardous goods according to the IMO IMDG Code.)"
TemperatureLimits,temperatureUnit,string,,,,CEL,"The unit in which all temperature limits are expressed:
 * CEL (Celsius)
 * FAH (Fahrenheit)
"
TemperatureLimits,"transportControlTemperature",string,,,,24.1,"Maximum temperature at which certain substance (such as organic peroxides and self-reactive and related substances)
 can be safely transported for a prolonged period."
TemperatureLimits,"transportEmergencyTemperature",string,,,,74.1,"Temperature at which emergency procedures shall be implemented"
Transport,departureDate,string,yes,,yyyy-MM-dd,"Thu Jan 23 01:00:00 CET 2025","The date of departure from the location where the cargo is handed over by the shipper, or his agent,
 to the shipping line. This can refer either to the Place of Receipt or the Port of Loading.
"
Transport,dischargeLocation,Location,,,,,"The location where the equipment is discharged from the last mother vessel arriving at the destination country.
"
Transport,etaAtPlaceOfDeliveryDate,string,,,yyyy-MM-dd,"Thu Jan 23 01:00:00 CET 2025","The expected date of arrival of the shipment at Place of Delivery."
Transport,etaAtPortOfDischargeDate,string,yes,,yyyy-MM-dd,"Thu Jan 23 01:00:00 CET 2025","The expected date of arrival of the vessel at the Port of Discharge."
Transport,loadLocation,Location,,,,,"The location where the equipment is loaded on the first mother vessel arriving at the destination country.
"
Transport,placeOfDelivery,Location,,,,,"The location where the cargo is handed over by the shipping line to the consignee or its agent
 and where responsibility of the shipping line ceases.
"
Transport,placeOfReceipt,Location,,,,,"The location where the cargo is handed over by the shipper, or his agent, to the shipping line.
 This indicates the point at which the shipping line takes on responsibility for carriage of the container.
"
Transport,plannedArrivalDate,string,,,yyyy-MM-dd,"Thu Jan 23 01:00:00 CET 2025","The expected date of arrival of the first mother vessel arriving at the destination country.
"
Transport,plannedDepartureDate,string,,,yyyy-MM-dd,"Thu Jan 23 01:00:00 CET 2025","The expected date of departure of the first mother vessel arriving at the destination country.
"
Transport,portOfDischarge,Location,yes,,,,"The location where the cargo is discharged from the last sea-going vessel.
"
Transport,portOfLoading,Location,yes,,,,"The location where the cargo is loaded onto a first sea-going vessel for water transportation.
"
"UtilizedTransportEquipment",activeReeferSettings,ActiveReeferSettings,,,,,
"UtilizedTransportEquipment",equipment,Equipment,yes,,,,
"UtilizedTransportEquipment",isDirectDeliveryRequired,boolean,,,,true,"Indicates whether the container with dangerous goods cargo must exit the port immediately after being discharged,
 based on the destination port and country regulations.
"
"UtilizedTransportEquipment",isExemptOfReuse,boolean,,,,true,"Specifies whether the container must be returned to the carrier and cannot be reused by the consignee for export.
"
"UtilizedTransportEquipment",isNonOperatingReefer,boolean,,,,true,"Indicates whether the equipment is a reefer container that should be treated as a dry container.
"
"UtilizedTransportEquipment",seals,"Seal list",yes,,,,"The seal-related information associated with this equipment."
"UtilizedTransportEquipment",shippingMarks,"string list",,,,,"Ordered list of shipping mark lines printed on the package"
VesselVoyage,"carrierImportVoyageNumber",string,yes,50,,1234N,"The identifier of an import voyage. The carrier-specific identifier of the import Voyage."
VesselVoyage,typeCode,string,yes,,,POD,"Code representing the destination type of a vessel voyage.

 - `DC` - destination country
 - `POD` - port of destination"
VesselVoyage,"universalImportVoyageReference",UniversalVoyageReference,,,,,
VesselVoyage,vesselFlag,string,,2,"^[A-Z]{2}$",NL,"Vessel flag"
VesselVoyage,vesselIMONumber,VesselIMONumber,,,,,
VesselVoyage,vesselName,string,yes,50,,"King of the Seas","Vessel name"
Volume,unit,string,,,,MTQ,"The unit in which the volume is expressed:
 * FTQ (Cubic feet)
 * MTQ (Cubic meters)
 * LTR (Litre)
"
Volume,value,string,,,,2.4,"The volume expressed in the selected unit."
