Object,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
ArrivalNotice,returnLocation,Location,,,,,,
ArrivalNotice,serviceContractNumber,string,,100,,SCN12345,"Reference number for agreement between shipper and carrier, which optionally includes a certain minimum
quantity commitment (usually referred as ""MQC"") of cargo that the shipper commits to over a fixed period,
and the carrier commits to a certain rate or rate schedule.",
ArrivalNotice,termsAndConditions,string,yes,50000,,"Any reference in...","Carrier terms and conditions of transport.",
ArrivalNotice,transport,Transport,yes,,,,,
ArrivalNotice,"transportDocumentReference",string,yes,20,"^\S(?:.*\S)?$",XYZ1234,"Reference of the transport document for which this arrival notice was created",
ArrivalNotice,"transportDocumentTypeCode",string,yes,,,BOL,"Type of the transport document for which this arrival notice was created
 * `BOL` - Bill of Lading
 * `SWB` - Sea Waybill",
ArrivalNotice,"utilizedTransportEquipments","UtilizedTransportEquipment list",yes,,,,"The equipments being used.",
"ArrivalNoticeNotification",equipmentReferences,"string list",,,,,"References of the equipments for which this arrival notice was created",
"ArrivalNoticeNotification",etaAtPlaceOfDeliveryDate,string,,,"^\d{4}-\d{2}-\d{2}$",2025-01-23,"The expected date of arrival of the shipment at place of delivery",
"ArrivalNoticeNotification",etaAtPortOfDischargeDate,string,yes,,"^\d{4}-\d{2}-\d{2}$",2025-01-23,"The expected date of arrival of the vessel at the port of discharge",
"ArrivalNoticeNotification",issueDateTime,string,yes,,,2025-01-23T01:23:45Z,"The date and time when the Arrival Notice was issued.",
"ArrivalNoticeNotification",label,string,,1000,,Warning,"Free text used to indicate a certain version or type of arrival notice,
for example ""Warning"", ""Updated"", ""Second"", ""Third"" etc.",
"ArrivalNoticeNotification",placeOfDelivery,Location,,,,,,
"ArrivalNoticeNotification",portOfDischarge,Location,yes,,,,,
"ArrivalNoticeNotification","transportDocumentReference",string,yes,20,"^\S(?:.*\S)?$",XYZ1234,"Reference of the transport document for which this arrival notice was created",
"ArrivalNoticeNotificationsMessage","arrivalNoticeNotifications","ArrivalNoticeNotification list",,,,,"List of Arrival Notice lightweight notifications.",
ArrivalNoticesMessage,arrivalNotices,"ArrivalNotice list",,,,,"List of arrival notices.",
CargoGrossVolume,unit,string,,,,MTQ,"The unit of measure which can be expressed in imperial or metric terms:
- `FTQ` (Cubic foot)
- `MTQ` (Cubic meter)",
CargoGrossVolume,value,number,,,,2.4,"Calculated by multiplying the width, height, and length of the packed cargo. A maximum of 4 decimals should be provided.",
CargoGrossWeight,unit,string,,,,KGM,"The unit of measure which can be expressed in imperial or metric terms:
- `KGM` (Kilograms)
- `LBR` (Pounds)",
CargoGrossWeight,value,number,,,,2400,"The weight of the cargo item including packaging being carried in the container. Excludes the tare weight of the container. A maximum of 3 decimals should be provided.",
CargoItem,cargoGrossVolume,CargoGrossVolume,,,,,,
CargoItem,cargoGrossWeight,CargoGrossWeight,,,,,,
CargoItem,cargoNetVolume,CargoNetVolume,,,,,,
CargoItem,cargoNetWeight,CargoNetWeight,,,,,,
CargoItem,customsReferences,"CustomsReference list",,,,,"A list of `Customs references`",
CargoItem,equipmentReference,string,,11,"^\S(?:.*\S)?$",APZU4812090,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible.
According to [ISO 6346](https://www.iso.org/standard/83558.html), a container identification code consists of a 4-letter prefix and a 7-digit number (composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit).

If a container does not comply with [ISO 6346](https://www.iso.org/standard/83558.html), it is suggested to follow [Recommendation #2: Containers with non-ISO identification](https://smdg.org/documents/smdg-recommendations) from SMDG.",
CargoItem,exportLicense,ExportLicense,,,,,,
CargoItem,importLicense,ImportLicense,,,,,,
CargoItem,nationalCommodityCodes,"NationalCommodityCode list",,,,,"A list of `National Commodity Codes` that apply to this `cargoItem`",
CargoItem,outerPackaging,OuterPackaging,,,,,,
CargoNetVolume,unit,string,,,,MTQ,"The unit of measure which can be expressed in imperial or metric terms:
- `FTQ` (Cubic foot)
- `MTQ` (Cubic meter)",
CargoNetVolume,value,number,,,,2.4,"Calculated by multiplying the width, height, and length of the cargo, excluding packaging.",
CargoNetWeight,unit,string,,,,KGM,"The unit of measure which can be expressed in imperial or metric terms:
- `KGM` (Kilograms)
- `LBR` (Pounds)",
CargoNetWeight,value,number,,,,2400,"The weight of the cargo item excluding packaging being carried in the container. Excludes the tare weight of the container. A maximum of 3 decimals should be provided.",
Charge,calculationBasis,string,yes,50,,"Per day","The code specifying the measure unit used for the corresponding unit price for this cost, such as per day, per ton,
per square metre.",
Charge,carrierRateOfExchange,string,,50,,"1.00 EUR = 1.08149 USD","The quotation of the relative value of a currency unit against the unit of another currency
in the foreign exchange market applicable to this charge item. The Carrier rate of exchange applicability
is defined based on the local jurisdiction. If not provided, the customer should refer to the ROE available
on the carrier website or the ROE defined by the competent customs authority, as per local practice.",
Charge,chargeAmount,string,yes,,"^\d+(\.\d{1,2})?$",123.45,"The monetary value of this charge, expressed with a maximum of 2 decimal digits",
Charge,chargeCurrency,string,yes,3,"^[A-Z]{3}$",EUR,"Currency code as defined by [ISO 4217](https://en.wikipedia.org/wiki/ISO_4217)",
Charge,chargeDescription,string,yes,50,,"Documentation fee - Destination","Description of the charge",
Charge,freightPaymentStatus,string,,50,,FULLY_PAID,"Payment status of the freight charges.

 * `ZERO_PAID` - Zero Paid
 * `PARTIALLY_PAID` - Partially Paid
 * `FULLY_PAID` - Fully Paid
 * `OVERPAID` - Overpaid",
Charge,invoiceReference,string,,100,,INV51XX80YY,"Reference of the invoice towards the consignee for this shipment charge",
Charge,paymentTermCode,string,yes,,,PRE,"An indicator of whether a charge is prepaid (PRE) or collect (COL).
When prepaid, the charge is the responsibility of the shipper or the Invoice payer on behalf
of the shipper (if provided). When collect, the charge is the responsibility of the consignee
or the Invoice payer on behalf of the consignee (if provided).

 * `COL` - Collect
 * `PRE` - Prepaid",
Charge,quantity,string,yes,,"^\d+(\.\d+)?$",123.456,"The quantity of this charge item in units at `unitPrice`",
Charge,unitPrice,string,yes,,"^\d+(\.\d{1,2})?$",123.45,"The unit price of this charge item in the `chargeCurrency`, expressed with a maximum of 2 decimal digits",
ConsignmentItem,HSCodes,"string list",,,,,"A list of `HS Codes` that apply to this `consignmentItem`",
ConsignmentItem,cargoItems,"CargoItem list",,,,,"A list of all `cargoItems`",
ConsignmentItem,carrierBookingReference,string,,35,"^\S(?:.*\S)?$",ABC709951,"The associated booking number provided by the carrier for this `Consignment Item`.",
ConsignmentItem,customsReferences,"CustomsReference list",,,,,"A list of `Customs references`",
ConsignmentItem,descriptionOfGoods,"string list",,,,,"A plain language description that is precise enough for Customs services to be able to identify the goods. General terms (i.e. 'consolidated', 'general cargo' 'parts' or 'freight of all kinds') or not sufficiently precise description cannot be accepted.

**Condition:** The order of the items in this array **MUST** be preserved as by the provider of the API.",
ConsignmentItem,exportLicense,ExportLicense,,,,,,
ConsignmentItem,importLicense,ImportLicense,,,,,,
ConsignmentItem,nationalCommodityCodes,"NationalCommodityCode list",,,,,"A list of `National Commodity Codes` that apply to this `commodity`",
ConsignmentItem,references,"ReferenceConsignmentItem list",,,,,"A list of `References`",
ConsignmentItem,shippingMarks,"string list",,,,,"A list of the `ShippingMarks` applicable to this `consignmentItem`

**Condition:** The order of the items in this array **MUST** be preserved as by the provider of the API.",
ContactInformation,email,string,,100,"^\S+(\s+\S+)*$",jane.doe@example.com,"Email address","At least one of these attributes is required: 'phone', 'email'."
ContactInformation,name,string,,100,"^\S+(\s+\S+)*$","Jane Doe","Contact name",
ContactInformation,phone,string,,30,"^\S+(\s+\S+)*$","+1 555-123-4567","Phone number","At least one of these attributes is required: 'phone', 'email'."
CustomsReference,countryCode,string,,2,"^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
CustomsReference,type,string,,50,"^\S(?:.*\S)?$",CUS,"The reference type code as defined in the relevant customs jurisdiction.",
CustomsReference,values,"string list",,,,,,
DangerousGoods,EMSNumber,string,,7,,"F-A S-Q","The emergency schedule identified in the IMO EmS Guide – Emergency Response Procedures for Ships Carrying Dangerous Goods. Comprises 2 values; 1 for spillage and 1 for fire. Possible values spillage: S-A to S-Z. Possible values fire: F-A to F-Z.",
DangerousGoods,NANumber,string,,4,"^\d{4}$",9037,"Four-digit number that is assigned to dangerous, hazardous, and harmful substances by the United States Department of Transportation.",
DangerousGoods,UNNumber,string,,4,"^\d{4}$",1463,"United Nations Dangerous Goods Identifier (UNDG) assigned by the UN Sub-Committee of Experts on the Transport of Dangerous Goods and shown in the IMO IMDG.",
DangerousGoods,codedVariantList,string,,4,"^[0-3][0-9A-Z]{3}$",2200,"Four-character code supplied by Exis Technologies that assists to remove ambiguities when identifying a variant within a single UN number or NA number that may occur when two companies exchange DG information.

Character | Valid Characters | Description
:--------:|------------------|------------
1| 0, 1, 2, 3|The packing group. Code 0 indicates there is no packing group
2|0 to 9 and A to Z|A sequence letter for the PSN, or 0 if there were no alternative PSNs
3 and 4|0 to 9 and A to Z|Two sequence letters for other information, for the cases where the variant is required because of different in subrisks, packing instruction etc.",
DangerousGoods,"competentAuthorityApproval",string,,70,"^\S(?:.*\S)?$","{Name and reference...}","Name and reference number of the competent authority providing the approval.",
DangerousGoods,emergencyContactDetails,EmergencyContactDetails,,,,,,
DangerousGoods,endOfHoldingTime,string,,,,"Fri Sep 03 02:00:00 CEST 2021","Date by when the refrigerated liquid needs to be delivered.",
DangerousGoods,fumigationDateTime,string,,,,2024-09-04T09:41Z,"Date & time when the container was fumigated",
DangerousGoods,grossWeight,GrossWeight,,,,,,
DangerousGoods,imoClass,string,,4,,1.4S,"The hazard class code of the referenced dangerous goods according to the specified regulation. Examples of possible values are:

- `1.1A` (Substances and articles which have a mass explosion hazard)
- `1.6N` (Extremely insensitive articles which do not have a mass explosion hazard)
- `2.1` (Flammable gases)
- `8` (Corrosive substances)",
DangerousGoods,inhalationZone,string,,1,,A,"The zone classification of the toxicity of the inhalant. Possible values are:

- `A` (Hazard Zone A) can be assigned to specific gases and liquids
- `B` (Hazard Zone B) can be assigned to specific gases and liquids
- `C` (Hazard Zone C) can **only** be assigned to specific gases
- `D` (Hazard Zone D) can **only** be assigned to specific gases",
DangerousGoods,innerPackagings,"InnerPackaging list",,,,,"A list of `Inner Packings` contained inside this `outer packaging/overpack`.",
DangerousGoods,"isCompetentAuthorityApprovalRequired",boolean,,,,false,"Indicates if the cargo require approval from authorities",
DangerousGoods,isEmptyUncleanedResidue,boolean,,,,false,"Indicates if the cargo is residue.",
DangerousGoods,isExceptedQuantity,boolean,,,,false,"Indicates if the dangerous goods can be transported as excepted quantity in accordance with Chapter 3.5 of the IMO IMDG Code.",
DangerousGoods,isHot,boolean,,,,false,"Indicates if high temperature cargo is shipped.",
DangerousGoods,isLimitedQuantity,boolean,,,,false,"Indicates if the dangerous goods can be transported as limited quantity in accordance with Chapter 3.4 of the IMO IMDG Code.",
DangerousGoods,isMarinePollutant,boolean,,,,false,"Indicates if the goods belong to the classification of Marine Pollutant.",
DangerousGoods,isReportableQuantity,boolean,,,,false,"Indicates if a container of hazardous material is at the reportable quantity level. If `true`, a report to the relevant authority must be made in case of spill.",
DangerousGoods,isSalvagePackings,boolean,,,,false,"Indicates if the cargo has special packaging for the transport, recovery or disposal of damaged, defective, leaking or nonconforming hazardous materials packages, or hazardous materials that have spilled or leaked.",
DangerousGoods,isWaste,boolean,,,,false,"Indicates if waste is being shipped",
DangerousGoods,limits,Limits,,,,,,
DangerousGoods,netExplosiveContent,NetExplosiveContent,,,,,,
DangerousGoods,netVolume,NetVolume,,,,,,
DangerousGoods,netWeight,NetWeight,,,,,,
DangerousGoods,packingGroup,integer,,,,3,"The packing group according to the UN Recommendations on the Transport of Dangerous Goods and IMO IMDG Code.",
DangerousGoods,properShippingName,string,,250,,"Chromium Trioxide, anhydrous","The proper shipping name for goods under IMDG Code, or the product name for goods under IBC Code and IGC Code, or the bulk cargo shipping name for goods under IMSBC Code, or the name of oil for goods under Annex I to the MARPOL Convention.",
DangerousGoods,segregationGroups,"string list",,,,,"List of the segregation groups applicable to specific hazardous goods according to the IMO IMDG Code.

**Condition:** only applicable to specific hazardous goods.",
DangerousGoods,subsidiaryRisk1,string,,3,"^[0-9](\.[0-9])?$",1.2,"Any risk in addition to the class of the referenced dangerous goods according to the IMO IMDG Code.",
DangerousGoods,subsidiaryRisk2,string,,3,"^[0-9](\.[0-9])?$",1.2,"Any risk in addition to the class of the referenced dangerous goods according to the IMO IMDG Code.",
DangerousGoods,technicalName,string,,250,,"xylene and benzene","The recognized chemical or biological name or other name currently used for the referenced dangerous goods as described in chapter 3.1.2.8 of the IMDG Code.",
DocumentParty,address,Address,,,,,,"At least one of these attributes is required: 'address', 'identifyingCodes'."
DocumentParty,contactDetails,"ContactInformation list",,,,,"Party contact details",
DocumentParty,identifyingCodes,"IdentifyingPartyCode list",,,,,"List of codes identifying the party","At least one of these attributes is required: 'address', 'identifyingCodes'."
DocumentParty,name,string,yes,70,,"Acme Inc.","Party name",
DocumentParty,partyType,string,yes,,,SHIPPER,"Code indicating the type of a document party
 * `SHIPPER` - The party by whom or in whose name or on whose behalf a contract of carriage of goods by sea has been concluded with a
carrier, or any person by whom or in whose name, or on whose behalf, the goods are actually delivered to the carrier
in relation to the contract of carriage by sea.

 * `CONSIGNEE` - The party to which goods are consigned.
 * `FIRST_NOTIFY_PARTY` - The first party to be notified of the shipment arrival.
 * `SECOND_NOTIFY_PARTY` - The second party to be notified of the shipment arrival.
 * `OTHER_NOTIFY_PARTY` - Other party to be notified of the shipment arrival.",
DocumentParty,personType,string,,,,LEGAL_PERSON,"One of the person types defined by the Union Customs Code art. 5(4)

 * `NATURAL_PERSON` - A person that is an individual living human being

 * `LEGAL_PERSON` - Person (including a human being and public or private organizations) that can perform legal actions,
such as own a property, sue and be sued

 * `ASSOCIATION_OF_PERSONS` - Not a legal person, but recognised under Union or National law as having the capacity to perform legal acts",
DocumentParty,taxOrLegalReferences,"TaxOrLegalReference list",,,,,"List of tax or legal references relevant to the party",
EmbeddedDocument,content,string,yes,,,RXhhbXBsZSBBTiBjb250ZW50,"Base64 representation of the binary document content",
EmbeddedDocument,contentType,string,,,,application/msword,"Content type of document",
EmbeddedDocument,name,string,yes,,,"20250123 AN XYZ01234.docx","Document name",
EmergencyContactDetails,contact,string,,255,,"Henrik Larsen","Name of the Contact person during an emergency.",
EmergencyContactDetails,phone,string,,30,"^\S(?:.*\S)?$","+45 70262970","Phone number for the contact. Phone **MUST** include an international phone number format as defined in the [ITU-T recommendation E.123](https://www.itu.int/rec/T-REC-E.123/en).",
EmergencyContactDetails,provider,string,,255,,GlobeTeam,"Name of the third party vendor providing emergency support",
EmergencyContactDetails,referenceNumber,string,,255,,12234,"Contract reference for the emergency support provided by an external third party vendor.",
Equipment,ISOEquipmentCode,string,,4,"^\S(?:.*\S)?$",22G1,"Unique code for the different equipment size and type used to transport commodities. The code can refer to one of ISO size type (e.g. 22G1) or ISO type group (e.g. 22GP) following the [ISO 6346](https://www.iso.org/standard/83558.html) standard.",
Equipment,equipmentReference,string,,11,"^\S(?:.*\S)?$",APZU4812090,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible.
According to [ISO 6346](https://www.iso.org/standard/83558.html), a container identification code consists of a 4-letter prefix and a 7-digit number (composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit).

If a container does not comply with [ISO 6346](https://www.iso.org/standard/83558.html), it is suggested to follow [Recommendation #2: Containers with non-ISO identification](https://smdg.org/documents/smdg-recommendations) from SMDG.",
Equipment,tareWeight,TareWeight,,,,,,
ExportLicense,expiryDate,string,,,,"Sat Sep 21 02:00:00 CEST 2024","Expiry date of the `Export License`.",
ExportLicense,isRequired,boolean,,,,true,"Information provided by the shipper to indicate whether an `Export License` or permit is required for this shipment/commodity/destination.

**Note:** If this property is omitted, it may be interpreted differently by different API providers and by the same API provider in different contexts.",
ExportLicense,issueDate,string,,,,"Sat Sep 14 02:00:00 CEST 2024","Issue date of the `Export License`.",
ExportLicense,reference,string,,35,"^\S(?:.*\S)?$",EMC007123,"Reference number assigned to an `Export License` or permit, which authorizes a business or individual to export specific goods to specific countries under defined conditions. It is a permit that is required when shipping certain restricted or controlled goods, such as military equipment, high-tech items, chemicals, or items subject to international regulations. The `Export License` must be valid at time of departure.",
FreeTime,calculationBasis,string,yes,1000,,"Calculated as...","Description of the conditions under which this free time item applies.
It can include references to the carrier website or individual charges as per service contract/agreement.",
FreeTime,duration,integer,yes,,,123,"The duration expressed in `timeUnit`s for which this free time item applies.",
FreeTime,isoEquipmentCode,string,yes,4,"^\S(?:.*\S)?$",22GP,"Unique code identifying the equipment size and type used to transport commodities.
The code can refer to either the ISO size type (e.g. 22G1) or the ISO type group (e.g. 22GP)
following the [ISO 6346](https://en.wikipedia.org/wiki/ISO_6346) standard.",
FreeTime,timeUnit,string,yes,3,,WD,"Code identifying the unit in which free time is expressed
 * `CD` - Calendar days
 * `WD` - Working days
 * `HR` - Hours",
FreeTime,typeCode,string,yes,,,DEM,"Code used to denote the type of free time.
 * `DEM` - Demurrage
 * `DET` - Detention
 * `PDM` - Per Diem
 * `STO` - Storage",
GrossWeight,unit,string,,,,KGM,"The unit of measure which can be expressed in imperial or metric terms:
- `KGM` (Kilograms)
- `LBR` (Pounds)",
GrossWeight,value,number,,,,12000.3,"The grand total weight of the DG cargo and weight per `UNNumber`/`NANumber` including packaging items being carried, which can be expressed in imperial or metric terms, as provided by the shipper.",
IdentifyingPartyCode,codeListName,string,,,,DID,"The name of the `partyCode` list, code generation mechanism or code authority from the `codeListProvider`.

This is a very limited list of examples:
 * DID (Decenbtralized Identifier) for `codeListProvider` W3C
 * LEI (Legal Entity Identifier) for `codeListProvider` GLEIF
 * DUNS (Data Universal Numbering System) for `codeListProvider` DNB",
IdentifyingPartyCode,codeListProvider,string,yes,,,W3C,"Code of the provider of the code list from which a party code is used.

 * `BOLE` - Bolero
 * `CARX` - CargoX
 * `DCSA` - Digital Container Shipping Association
 * `DNB` - Dun and Bradstreet
 * `EDOX` - EdoxOnline
 * `ESSD` - EssDOCS
 * `ETEU` - eTEU
 * `FMC` - Federal Maritime Commission
 * `GSBN` - Global Shipping Business Network
 * `GLEIF` - Global Legal Entity Identifier Foundation
 * `IDT` - ICE Digital Trade
 * `IQAX` - IQAX
 * `SECR` - Secro
 * `TRGO` - TradeGO
 * `W3C` - World Wide Web Consortium
 * `WAVE` - Wave
 * `WISE` - WiseTech
 * `ZZZ` - Mutually defined",
IdentifyingPartyCode,partyCode,string,yes,,,MSK,"Identifier of the party in the list `codeListName` provided by `codeListProvider`",
ImportLicense,expiryDate,string,,,,"Sat Sep 21 02:00:00 CEST 2024","Expiry date of the `Import License`.",
ImportLicense,isRequired,boolean,,,,true,"Information provided by the shipper to indicate whether an `Import License` or permit is required for this shipment/commodity/destination.

**Note:** If this property is omitted, it may be interpreted differently by different API providers and by the same API provider in different contexts.",
ImportLicense,issueDate,string,,,,"Sat Sep 14 02:00:00 CEST 2024","Issue date of the `Import License`.",
ImportLicense,reference,string,,35,"^\S(?:.*\S)?$",EMC007123,"Reference number assigned to an `Import License` or permit, issued by countries exercising import controls that authorizes the importation of the articles stated in the license. The `Import License` must be valid at time of arrival.",
InnerPackaging,description,string,,100,,"Woven plastic water resistant Bag","Description of the packaging.",
InnerPackaging,material,string,,100,,Plastic,"The `material` used for the `Inner Packaging` of the referenced `Dangerous Goods`.",
InnerPackaging,quantity,integer,,,,20,"Count of `Inner Packagings` of the referenced `Dangerous Goods`.",
Limits,SADT,number,,,,54.1,"Lowest temperature in which self-accelerating decomposition may occur in a substance",
Limits,SAPT,number,,,,70.0,"Lowest temperature in which self-accelerating polymerization may occur in a substance",
Limits,flashPoint,number,,,,42.0,"Lowest temperature at which a chemical can vaporize to form an ignitable mixture in air.

**Condition:** only applicable to specific hazardous goods according to the IMO IMDG Code.",
Limits,temperatureUnit,string,,,,CEL,"The unit for **all attributes in the limits structure** in Celsius or Fahrenheit

- `CEL` (Celsius)
- `FAH` (Fahrenheit)",
Limits,"transportControlTemperature",number,,,,24.1,"Maximum temperature at which certain substance (such as organic peroxides and self-reactive and related substances) can be safely transported for a prolonged period.",
Limits,"transportEmergencyTemperature",number,,,,74.1,"Temperature at which emergency procedures shall be implemented",
Location,address,Address,,,,,,
Location,facilityCode,string,,6,"^\S(?:.*\S)?$",CTA,"Facility code in the list provided by `facilityCodeListProvider`",
Location,facilityCodeListProvider,string,,,,BIC,"The provider of the code list in which `facilityCode` is defined.
 * `BIC` - BIC Facility Codes; details [here](https://www.bic-code.org/facility-codes/)
 * `SMDG` - Ship Message Design Group; details [here](https://www.bic-code.org/facility-codes/)",
Location,locationName,string,,100,,"Port of Amsterdam","Location name",
Location,unLocationCode,string,,5,"^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code identifying a certain location. The pattern used must be:
* 2 characters for the country code using ISO 3166-1 alpha-2
* 3 characters to code a location within that country (using letters A-Z and numbers from 2-9)

Additional information can be found [here](https://unece.org/trade/cefact/UNLOCODE-Download).",
NationalCommodityCode,countryCode,string,,2,"^[A-Z]{2}$",BR,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
NationalCommodityCode,type,string,,10,"^\S(?:.*\S)?$",NCM,"The national commodity classification code, which can be one of the following values defined by DCSA:
- `NCM` (Nomenclatura Comum do Mercosul)
- `HTS` (Harmonized Tariff Schedule)
- `SCHEDULE_B` ( Schedule B)
- `TARIC` (Integrated Tariff of the European Communities)
- `CN` (Combined Nomenclature)
- `CUS` (Customs Union and Statistics)",
NationalCommodityCode,values,"string list",,,,,"A list of `national commodity codes` values.",
NetExplosiveContent,unit,string,,,,KGM,"The unit of measure which can be expressed in imperial or metric terms:
- `KGM` (Kilograms)
- `LBR` (Pounds)
- `GRM` (Grams)
- `ONZ` (Ounce)",
NetExplosiveContent,value,number,,,,2.4,"The total weight of the explosive substances, without the packaging’s, casings, etc.",
NetVolume,unit,string,,,,MTQ,"The unit of measure which can be expressed in imperial or metric terms:
- `FTQ` (Cubic foot)
- `MTQ` (Cubic meter)
- `LTR` (Litre)",
NetVolume,value,number,,,,2.4,"The volume of the referenced dangerous goods.",
NetWeight,unit,string,,,,KGM,"The unit of measure which can be expressed in imperial or metric terms:
- `KGM` (Kilograms)
- `LBR` (Pounds)",
NetWeight,value,number,,,,2.4,"Total weight of the goods carried, excluding packaging.",
OuterPackaging,dangerousGoods,"DangerousGoods list",,,,,"A list of `Dangerous Goods`",
OuterPackaging,description,string,,100,,"Drum, steel","Description of the outer packaging/overpack.",
